wl_position,days_before,distance_km,journey_month,day_of_week,festival,wl_type_score,class_demand,quota_demand,popularity,final_status
11,47,330,5,1,0,0.75,0.8,0.92,67,CONFIRMED
88,50,1579,4,6,1,0.45,0.72,0.92,100,RAC
49,15,434,7,6,0,0.75,0.72,0.75,60,RAC
48,19,1286,7,0,0,0.75,0.65,0.92,88,RAC
60,27,1167,3,6,0,0.45,0.65,0.92,82,RAC
146,12,1433,12,1,0,0.45,0.8,0.95,89,WAITING
164,1,226,1,4,0,0.75,0.78,0.75,57,WAITING
39,27,1281,11,4,1,0.45,0.65,0.75,93,RAC
104,11,628,9,3,0,0.75,0.85,0.92,79,WAITING
83,50,267,12,6,0,1.0,0.78,0.95,80,CONFIRMED
1,44,1627,4,6,0,0.35,0.8,0.75,79,CONFIRMED
87,56,695,4,6,1,1.0,0.85,0.95,100,CONFIRMED
167,58,935,10,1,0,1.0,0.8,0.95,88,WAITING
87,53,466,8,2,0,1.0,0.78,0.92,74,CONFIRMED
133,5,827,6,5,0,0.75,0.72,0.75,61,WAITING
67,4,1274,8,0,0,1.0,0.85,0.75,76,WAITING
59,38,565,1,1,0,0.45,0.8,0.95,73,CONFIRMED
115,13,1573,11,4,1,1.0,0.8,0.95,100,WAITING
44,17,303,11,1,1,0.75,0.78,0.92,89,WAITING
152,40,555,11,2,0,0.45,0.65,0.92,74,WAITING
42,1,188,9,6,0,0.75,0.78,0.75,57,WAITING
44,35,504,3,2,0,0.45,0.78,0.92,68,CONFIRMED
139,3,1383,7,3,0,0.75,0.65,0.92,87,WAITING
69,35,240,9,1,0,0.35,0.65,0.75,57,RAC
41,9,1163,7,6,0,0.45,0.65,0.92,90,WAITING
68,56,648,5,3,1,0.45,0.65,0.95,95,CONFIRMED
102,31,1585,11,5,1,1.0,0.65,0.95,100,WAITING
74,31,1358,11,4,1,0.35,0.85,0.75,100,WAITING
51,45,1264,4,2,0,0.75,0.78,0.95,75,CONFIRMED
93,49,1036,8,6,0,0.35,0.65,0.95,83,RAC
172,26,1461,8,2,0,1.0,0.72,0.95,75,WAITING
114,10,444,6,6,0,0.45,0.65,0.92,76,WAITING
22,20,190,7,1,0,0.45,0.8,0.95,71,CONFIRMED
139,11,1695,5,1,1,0.45,0.72,0.95,96,WAITING
138,13,723,8,6,0,1.0,0.78,0.95,80,WAITING
164,51,790,12,4,0,0.35,0.72,0.95,70,WAITING
119,55,1587,6,5,0,0.75,0.72,0.92,88,RAC
138,39,1533,2,3,0,1.0,0.78,0.92,81,WAITING
10,30,689,6,4,0,0.75,0.72,0.95,80,CONFIRMED
4,48,1692,4,3,0,0.35,0.85,0.95,93,CONFIRMED
179,43,1523,6,0,0,0.45,0.72,0.75,62,WAITING
63,59,560,12,5,0,1.0,0.85,0.95,82,CONFIRMED
161,40,525,2,1,0,0.75,0.65,0.75,61,WAITING
133,29,1235,2,2,0,0.75,0.85,0.75,80,WAITING
171,29,745,9,0,0,1.0,0.65,0.95,62,WAITING
33,47,1700,10,0,1,0.35,0.72,0.92,99,CONFIRMED
23,10,1595,12,2,0,0.45,0.85,0.75,81,RAC
160,38,1252,6,3,0,0.75,0.85,0.95,93,WAITING
139,44,680,6,1,0,0.75,0.72,0.92,63,WAITING
8,46,1122,2,0,0,0.35,0.8,0.75,62,CONFIRMED
2,32,1258,5,3,0,0.35,0.72,0.92,81,CONFIRMED
174,45,1365,3,2,0,0.45,0.8,0.75,59,WAITING
126,2,642,9,4,0,1.0,0.72,0.75,61,WAITING
36,40,852,12,2,0,0.35,0.65,0.75,58,CONFIRMED
53,7,286,11,0,0,0.35,0.85,0.95,76,WAITING
134,57,693,6,2,0,0.75,0.65,0.75,54,WAITING
119,16,1099,10,4,1,0.75,0.72,0.92,100,WAITING
48,39,1660,2,0,0,1.0,0.8,0.75,67,CONFIRMED
94,2,864,10,3,0,1.0,0.8,0.92,71,WAITING
22,43,282,11,2,1,0.45,0.78,0.95,91,CONFIRMED
33,34,477,1,0,0,0.75,0.72,0.95,73,CONFIRMED
33,9,1640,9,4,0,0.35,0.72,0.92,94,WAITING
10,22,976,8,6,0,0.45,0.85,0.75,85,CONFIRMED
153,26,751,2,6,0,0.75,0.8,0.92,80,WAITING
39,8,225,2,3,0,1.0,0.72,0.75,58,RAC
45,10,1561,9,4,0,0.45,0.78,0.95,88,WAITING
10,2,174,3,4,0,0.45,0.85,0.92,93,WAITING
14,0,810,11,5,0,1.0,0.65,0.92,78,RAC
107,41,871,3,2,0,0.35,0.65,0.75,63,WAITING
163,12,1662,10,4,0,0.75,0.72,0.75,76,WAITING
15,54,322,3,5,0,1.0,0.78,0.75,71,CONFIRMED
129,46,564,10,5,1,0.35,0.8,0.92,100,WAITING
101,42,943,2,3,0,0.35,0.65,0.75,67,WAITING
98,47,1365,6,4,0,0.75,0.85,0.95,100,RAC
101,59,459,5,0,1,0.75,0.65,0.92,90,CONFIRMED
107,7,881,2,5,0,0.75,0.78,0.95,78,WAITING
124,22,1167,5,0,1,1.0,0.72,0.92,100,WAITING
55,42,1504,1,6,0,1.0,0.65,0.75,68,CONFIRMED
153,55,552,9,6,0,0.45,0.65,0.75,62,WAITING
104,6,1004,6,6,0,1.0,0.85,0.92,98,WAITING
9,14,510,3,2,0,0.35,0.65,0.92,70,RAC
65,26,287,3,6,0,0.75,0.85,0.95,84,RAC
27,11,997,12,4,0,0.35,0.8,0.95,88,WAITING
29,33,1278,1,3,0,0.75,0.65,0.75,65,CONFIRMED
140,46,763,3,2,0,0.75,0.85,0.92,76,WAITING
167,44,1310,11,2,0,0.75,0.8,0.95,74,WAITING
33,30,1167,3,5,0,0.75,0.72,0.75,71,CONFIRMED
30,52,789,2,6,0,1.0,0.65,0.92,79,CONFIRMED
158,31,348,12,1,0,0.45,0.8,0.92,75,WAITING
82,38,1242,12,5,0,0.35,0.65,0.92,88,RAC
151,26,334,7,6,0,0.45,0.8,0.95,73,WAITING
17,24,620,8,6,0,0.45,0.72,0.92,80,CONFIRMED
32,55,585,2,5,0,0.45,0.65,0.95,78,CONFIRMED
52,35,359,12,5,0,0.45,0.72,0.92,73,CONFIRMED
30,51,1034,6,0,0,0.35,0.65,0.95,90,CONFIRMED
127,5,1359,12,2,0,0.45,0.72,0.75,68,WAITING
8,50,1388,3,0,0,0.75,0.78,0.92,89,CONFIRMED
70,38,1209,8,0,0,0.35,0.85,0.75,74,RAC
118,54,1023,10,2,0,0.35,0.72,0.95,89,WAITING
8,5,1547,10,6,1,0.35,0.85,0.95,100,WAITING
151,50,1293,1,0,0,0.75,0.78,0.92,86,WAITING
7,4,1600,7,1,0,0.45,0.85,0.75,81,WAITING
144,49,1353,6,6,0,1.0,0.8,0.95,96,WAITING
136,4,1650,1,5,0,0.45,0.8,0.92,86,WAITING
99,16,1566,4,0,1,0.75,0.72,0.95,100,WAITING
42,42,152,6,1,0,0.75,0.85,0.95,72,CONFIRMED
20,33,1274,1,4,0,1.0,0.65,0.95,88,CONFIRMED
85,14,638,6,1,0,1.0,0.65,0.92,73,WAITING
128,21,1075,5,0,0,1.0,0.72,0.95,85,WAITING
178,20,751,9,4,0,0.75,0.65,0.95,81,WAITING
59,3,993,5,5,1,0.35,0.65,0.75,89,WAITING
114,31,727,4,1,1,0.75,0.65,0.95,82,WAITING
19,25,1330,4,4,1,0.45,0.8,0.75,88,CONFIRMED
62,54,1064,4,2,0,0.45,0.72,0.95,74,CONFIRMED
163,19,1416,4,0,1,0.35,0.85,0.92,100,WAITING
62,35,1040,11,3,0,0.35,0.72,0.92,76,RAC
144,37,1233,2,0,0,0.35,0.8,0.75,75,WAITING
53,35,1188,4,0,1,0.35,0.72,0.75,77,RAC
46,39,349,1,5,0,0.35,0.78,0.95,77,CONFIRMED
137,38,277,4,4,0,1.0,0.85,0.95,96,WAITING
160,32,1599,9,0,0,0.45,0.8,0.75,63,WAITING
22,19,490,6,2,0,0.45,0.65,0.95,72,CONFIRMED
111,21,159,2,0,0,0.75,0.85,0.92,86,WAITING
42,29,511,4,6,1,0.45,0.78,0.92,96,RAC
98,51,616,8,0,0,0.75,0.78,0.92,76,RAC
118,3,762,1,2,0,1.0,0.78,0.95,68,WAITING
114,27,211,8,1,0,0.45,0.78,0.75,62,WAITING
99,19,1471,10,5,0,1.0,0.72,0.92,88,WAITING
131,27,1464,12,0,0,0.35,0.72,0.75,59,WAITING
3,18,645,1,2,0,0.45,0.72,0.95,71,CONFIRMED
105,31,1641,12,6,0,0.35,0.78,0.75,67,WAITING
146,55,1030,7,0,0,0.75,0.78,0.95,89,WAITING
114,24,1401,7,2,0,0.45,0.72,0.92,77,WAITING
127,5,1231,5,2,0,0.45,0.78,0.95,87,WAITING
118,59,1237,6,0,0,0.75,0.8,0.95,78,RAC
45,41,1684,1,3,0,0.35,0.72,0.92,83,CONFIRMED
70,56,1068,11,1,1,0.75,0.85,0.95,100,CONFIRMED
42,16,1120,12,0,0,0.45,0.8,0.92,82,WAITING
8,54,739,12,3,0,0.35,0.72,0.75,58,CONFIRMED
23,1,155,2,6,0,0.35,0.72,0.95,82,WAITING
98,50,563,11,4,1,0.75,0.8,0.75,76,RAC
115,57,1604,3,4,0,0.75,0.8,0.95,90,RAC
112,54,308,8,6,0,0.45,0.8,0.95,74,RAC
61,24,1469,9,2,0,0.75,0.72,0.92,78,RAC
25,2,1517,12,1,0,0.35,0.72,0.75,72,WAITING
67,47,1249,9,6,0,0.35,0.85,0.75,77,CONFIRMED
141,14,163,1,3,0,0.35,0.78,0.75,59,WAITING
129,48,558,7,3,0,0.75,0.78,0.92,73,WAITING
25,22,444,12,4,0,0.35,0.78,0.92,80,RAC
163,29,219,5,6,1,0.45,0.78,0.95,91,WAITING
114,33,982,11,1,1,0.45,0.8,0.75,77,WAITING
118,54,474,10,4,1,1.0,0.72,0.75,82,WAITING
10,56,974,9,6,0,0.35,0.78,0.92,92,CONFIRMED
126,2,612,10,0,1,1.0,0.8,0.75,79,WAITING
70,23,513,8,2,0,1.0,0.78,0.95,62,RAC
178,26,1423,5,0,1,0.45,0.72,0.92,94,WAITING
133,28,578,6,1,0,0.75,0.78,0.92,72,WAITING
179,24,352,12,2,0,0.45,0.78,0.95,64,WAITING
169,43,1545,3,3,0,1.0,0.8,0.75,73,WAITING
45,46,1055,9,1,0,0.45,0.8,0.95,76,CONFIRMED
116,57,686,1,5,0,0.45,0.72,0.75,62,RAC
82,3,1322,8,6,0,0.75,0.72,0.92,90,WAITING
84,42,1684,5,6,0,1.0,0.85,0.92,100,RAC
35,16,1515,6,1,0,0.35,0.78,0.92,74,RAC
97,36,163,3,4,0,0.75,0.8,0.75,60,WAITING
23,32,1367,8,5,0,1.0,0.78,0.95,93,CONFIRMED
68,22,1473,7,5,0,1.0,0.78,0.95,86,WAITING
8,37,1636,9,6,0,0.45,0.65,0.95,82,CONFIRMED
152,60,422,8,0,0,0.45,0.72,0.95,70,WAITING
158,36,1503,7,6,0,1.0,0.78,0.95,90,WAITING
27,44,1168,11,2,1,0.45,0.65,0.95,100,CONFIRMED
171,43,1633,5,1,1,1.0,0.8,0.95,100,WAITING
29,29,1034,6,6,0,0.75,0.8,0.75,68,CONFIRMED
74,21,819,11,3,0,0.75,0.8,0.95,75,WAITING
173,32,1692,1,3,0,0.45,0.78,0.95,83,WAITING
148,45,312,12,0,0,0.35,0.78,0.92,63,WAITING
158,26,943,7,1,0,0.75,0.65,0.92,88,WAITING
60,3,781,5,0,0,0.35,0.78,0.75,63,WAITING
141,51,1414,4,4,0,0.35,0.8,0.75,80,WAITING
5,54,1193,6,2,0,0.35,0.72,0.95,74,CONFIRMED
63,7,1679,12,3,0,0.45,0.85,0.92,94,WAITING
102,60,1424,3,3,0,0.45,0.78,0.95,81,CONFIRMED
61,25,226,11,4,0,0.75,0.85,0.75,77,RAC
54,6,1494,3,3,0,0.75,0.72,0.75,60,WAITING
147,0,1326,3,1,0,1.0,0.65,0.75,69,WAITING
14,50,1114,4,5,0,0.35,0.72,0.92,86,CONFIRMED
59,54,610,8,4,0,0.35,0.65,0.95,80,CONFIRMED
150,11,305,5,0,0,0.75,0.8,0.75,50,WAITING
93,55,589,5,6,1,1.0,0.72,0.95,91,RAC
25,14,822,11,5,0,1.0,0.65,0.95,73,CONFIRMED
93,21,361,4,2,0,1.0,0.72,0.92,70,WAITING
15,0,1438,5,5,0,0.35,0.85,0.75,93,WAITING
32,45,1451,2,6,0,0.45,0.8,0.95,94,CONFIRMED
171,19,1530,7,5,0,0.45,0.65,0.92,82,WAITING
12,55,1629,1,2,0,0.75,0.78,0.75,75,CONFIRMED
179,7,1574,3,2,0,0.75,0.8,0.95,74,WAITING
25,45,1396,5,4,0,0.35,0.8,0.95,88,CONFIRMED
157,43,1333,8,5,0,0.45,0.85,0.95,100,WAITING
39,32,1301,1,3,0,0.75,0.65,0.92,78,CONFIRMED
163,16,208,2,6,0,1.0,0.72,0.92,84,WAITING
14,20,925,4,4,0,0.35,0.65,0.95,97,RAC
7,12,744,4,6,0,1.0,0.72,0.92,86,CONFIRMED
64,59,1554,1,0,0,1.0,0.65,0.75,70,CONFIRMED
111,21,1614,6,0,0,0.35,0.85,0.75,71,WAITING
9,36,211,4,6,1,0.75,0.8,0.75,75,CONFIRMED
136,49,1209,8,4,0,0.35,0.72,0.92,87,WAITING
49,60,515,6,6,0,0.45,0.78,0.92,83,CONFIRMED
170,40,1036,12,1,0,1.0,0.65,0.95,78,WAITING
40,39,220,3,6,0,0.75,0.8,0.92,84,CONFIRMED
124,30,189,10,3,1,0.35,0.85,0.92,100,WAITING
137,58,252,4,0,0,1.0,0.72,0.95,70,RAC
52,16,1284,11,4,1,0.75,0.8,0.95,100,WAITING
74,10,473,11,1,0,0.75,0.65,0.95,75,WAITING
38,17,1217,5,6,0,0.45,0.8,0.95,86,RAC
8,20,1140,2,5,0,0.75,0.8,0.95,98,CONFIRMED
70,33,530,5,5,1,0.35,0.65,0.95,92,RAC
49,45,1588,7,5,0,0.75,0.65,0.92,85,CONFIRMED
98,2,234,2,2,0,0.35,0.8,0.95,68,WAITING
114,38,1472,6,4,0,0.75,0.72,0.75,68,WAITING
8,51,953,1,6,0,0.35,0.65,0.92,88,CONFIRMED
3,10,498,10,4,0,1.0,0.72,0.92,70,CONFIRMED
3,59,492,5,6,1,0.75,0.65,0.92,94,CONFIRMED
35,52,460,5,6,0,0.35,0.8,0.95,76,CONFIRMED
112,53,726,1,0,0,1.0,0.78,0.92,64,RAC
128,23,843,7,2,0,1.0,0.85,0.92,80,WAITING
38,50,882,12,2,0,1.0,0.85,0.95,74,CONFIRMED
99,14,1420,6,0,0,0.45,0.65,0.75,66,WAITING
134,6,1495,8,6,0,0.75,0.85,0.92,100,WAITING
103,2,880,7,2,0,0.75,0.65,0.92,69,WAITING
144,8,1299,5,0,1,1.0,0.85,0.75,88,WAITING
52,6,1057,4,5,0,0.75,0.65,0.75,67,WAITING
94,18,1690,10,4,0,0.35,0.85,0.95,100,WAITING
117,58,201,9,4,0,0.45,0.8,0.75,55,RAC
114,16,1243,10,0,1,0.75,0.8,0.92,92,WAITING
83,38,1118,7,6,0,0.75,0.65,0.92,96,WAITING
99,36,1319,12,4,0,0.75,0.85,0.92,97,WAITING
10,48,537,12,2,0,0.35,0.72,0.92,66,CONFIRMED
161,21,1664,7,2,0,0.75,0.8,0.92,81,WAITING
135,31,1648,8,3,0,1.0,0.85,0.95,96,WAITING
59,17,522,4,0,1,0.35,0.72,0.95,85,WAITING
72,50,1171,8,3,0,0.35,0.85,0.95,99,CONFIRMED
148,3,705,9,4,0,0.75,0.72,0.75,70,WAITING
53,22,1085,8,6,0,0.35,0.78,0.92,83,WAITING
85,37,570,5,5,0,0.35,0.85,0.75,65,WAITING
118,28,307,6,2,0,1.0,0.65,0.92,65,WAITING
125,37,480,12,6,0,0.35,0.65,0.75,56,WAITING
115,43,1040,11,2,0,0.45,0.65,0.95,82,WAITING
128,47,1019,5,4,0,0.35,0.85,0.95,100,WAITING
116,53,651,11,4,1,0.75,0.85,0.92,100,WAITING
81,60,1337,3,6,0,0.45,0.85,0.92,100,CONFIRMED
27,58,908,5,6,1,0.35,0.65,0.75,90,CONFIRMED
67,28,496,7,1,0,1.0,0.78,0.75,52,RAC
179,49,846,8,4,0,1.0,0.65,0.95,86,WAITING
96,45,561,6,6,0,0.75,0.65,0.75,64,RAC
158,4,1310,9,6,0,0.75,0.78,0.92,98,WAITING
7,16,1063,4,5,1,0.35,0.85,0.75,98,CONFIRMED
109,21,283,11,6,1,0.75,0.85,0.92,100,WAITING
65,57,701,7,5,0,0.75,0.85,0.95,88,CONFIRMED
130,6,527,3,2,0,0.35,0.8,0.92,66,WAITING
132,0,1464,4,1,1,1.0,0.65,0.95,93,WAITING
8,25,346,12,5,0,1.0,0.65,0.95,76,CONFIRMED
125,30,457,9,6,0,0.45,0.8,0.92,82,WAITING
21,59,1592,4,3,1,1.0,0.78,0.92,99,CONFIRMED
48,53,1144,7,2,0,0.75,0.72,0.95,90,CONFIRMED
167,10,1268,4,4,0,1.0,0.72,0.92,94,WAITING
104,4,1402,10,4,0,0.75,0.72,0.75,77,WAITING
65,59,489,2,4,0,0.45,0.78,0.95,86,CONFIRMED
102,20,241,9,6,0,0.35,0.78,0.95,83,WAITING
84,18,1223,2,6,0,0.75,0.85,0.95,100,WAITING
129,45,1620,3,0,0,0.35,0.85,0.92,91,WAITING
37,7,1230,7,6,0,0.75,0.8,0.92,94,WAITING
20,46,1223,4,0,0,0.75,0.72,0.75,63,CONFIRMED
35,5,787,4,1,1,0.35,0.72,0.75,79,WAITING
42,26,1653,7,2,0,1.0,0.8,0.92,90,RAC
37,13,762,1,5,0,0.35,0.85,0.92,87,WAITING
144,16,1623,8,4,0,0.45,0.78,0.95,91,WAITING
127,39,542,5,1,0,0.35,0.85,0.75,71,WAITING
101,15,569,6,6,0,1.0,0.72,0.95,71,WAITING
150,43,831,5,6,0,0.75,0.85,0.95,88,WAITING
6,56,1446,8,0,0,0.75,0.78,0.92,74,CONFIRMED
81,26,1111,8,0,0,1.0,0.85,0.92,97,WAITING
136,52,403,10,3,1,0.45,0.78,0.75,71,WAITING
173,10,1193,11,5,1,0.45,0.72,0.75,86,WAITING
179,41,960,7,1,0,0.45,0.78,0.95,85,WAITING
24,33,562,8,0,0,0.35,0.78,0.75,54,CONFIRMED
99,48,1548,11,5,0,0.35,0.72,0.75,83,RAC
58,1,557,4,2,1,0.75,0.65,0.92,85,WAITING
97,45,346,10,5,0,0.75,0.65,0.75,71,RAC
30,55,1239,8,6,0,1.0,0.8,0.95,96,CONFIRMED
108,38,417,10,1,0,0.75,0.8,0.75,56,WAITING
113,1,1403,3,4,0,0.45,0.8,0.75,80,WAITING
77,21,577,7,0,0,0.35,0.85,0.92,88,WAITING
14,22,1439,12,5,0,0.75,0.78,0.92,82,CONFIRMED
104,48,1470,5,0,0,0.45,0.85,0.95,90,RAC
60,3,1462,6,2,0,0.35,0.72,0.75,73,WAITING
50,9,488,1,1,0,0.35,0.72,0.95,72,WAITING
108,53,1084,6,5,0,0.35,0.78,0.95,86,RAC
77,58,178,4,6,1,0.75,0.8,0.75,77,CONFIRMED
138,45,1027,5,6,1,0.45,0.8,0.75,88,WAITING
27,33,946,1,6,0,1.0,0.8,0.92,88,CONFIRMED
141,10,1331,10,5,1,1.0,0.65,0.75,100,WAITING
152,50,1031,1,3,0,0.75,0.72,0.95,76,WAITING
151,7,1622,2,6,0,0.75,0.8,0.95,98,WAITING
3,2,466,8,0,0,0.35,0.85,0.95,79,RAC
10,23,1402,4,2,1,0.45,0.78,0.75,82,CONFIRMED
71,47,337,9,2,0,0.35,0.78,0.92,63,CONFIRMED
104,22,519,4,0,0,0.75,0.78,0.95,66,WAITING
24,25,1215,7,2,0,0.35,0.8,0.92,84,CONFIRMED
176,15,856,2,3,0,0.45,0.65,0.92,69,WAITING
57,18,1080,7,5,0,0.75,0.72,0.75,71,RAC
149,55,1033,11,0,0,0.75,0.78,0.75,71,WAITING
58,58,1676,11,0,1,0.45,0.85,0.95,100,CONFIRMED
40,39,1375,4,6,1,0.35,0.72,0.95,100,RAC
66,3,711,2,0,0,0.75,0.72,0.75,63,WAITING
2,26,285,11,2,1,0.45,0.78,0.95,80,CONFIRMED
83,60,1038,1,1,0,0.45,0.8,0.75,67,CONFIRMED
174,48,983,3,4,0,0.75,0.85,0.95,100,WAITING
160,28,435,11,4,0,0.45,0.72,0.75,62,WAITING
1,26,1050,4,6,0,0.45,0.65,0.95,82,CONFIRMED
13,55,1461,7,0,0,0.45,0.85,0.75,78,CONFIRMED
160,26,1071,9,5,0,1.0,0.8,0.92,96,WAITING
147,40,708,5,5,1,0.75,0.65,0.92,88,WAITING
31,5,486,5,0,0,1.0,0.72,0.75,59,RAC
88,44,670,3,6,0,0.75,0.78,0.92,72,CONFIRMED
134,32,483,10,1,1,0.75,0.72,0.95,94,WAITING
149,55,1387,6,6,0,1.0,0.8,0.92,85,WAITING
174,54,842,9,1,0,1.0,0.65,0.92,78,WAITING
41,59,1678,8,3,0,1.0,0.78,0.95,79,CONFIRMED
47,40,775,2,4,0,0.35,0.72,0.92,80,CONFIRMED
114,60,269,3,2,0,1.0,0.85,0.95,82,CONFIRMED
85,13,1147,1,5,0,1.0,0.72,0.95,83,WAITING
126,24,1038,9,4,0,0.45,0.65,0.75,70,WAITING
34,15,1339,1,6,0,0.75,0.85,0.75,89,RAC
86,30,1296,5,3,0,0.75,0.8,0.95,85,WAITING
84,0,760,12,0,0,0.75,0.78,0.92,68,WAITING
61,5,264,11,1,1,0.75,0.65,0.95,80,WAITING
119,56,656,4,4,1,0.45,0.65,0.92,100,WAITING
96,35,689,1,0,0,1.0,0.8,0.95,68,WAITING
82,31,598,8,0,0,0.45,0.8,0.75,63,WAITING
140,7,1466,12,2,0,1.0,0.72,0.75,62,WAITING
148,36,1330,2,0,0,1.0,0.85,0.75,80,WAITING
5,0,976,1,2,0,0.45,0.8,0.92,83,RAC
110,47,1438,7,1,0,0.35,0.8,0.95,75,RAC
18,14,1125,12,2,0,0.75,0.65,0.75,74,RAC
48,38,1173,12,1,0,0.75,0.65,0.95,82,CONFIRMED
144,38,1632,6,6,0,1.0,0.65,0.92,91,WAITING
61,45,1481,9,1,0,0.35,0.72,0.92,87,CONFIRMED
91,22,904,7,1,0,0.35,0.65,0.75,67,WAITING
111,35,391,7,0,0,0.45,0.78,0.95,63,WAITING
100,43,617,2,6,0,1.0,0.65,0.95,86,RAC
35,16,1662,8,3,0,0.45,0.65,0.75,71,RAC
65,24,1329,4,3,1,0.45,0.72,0.92,100,WAITING
26,30,816,4,0,0,0.45,0.8,0.75,63,CONFIRMED
52,31,1527,2,5,0,0.35,0.72,0.75,75,CONFIRMED
119,57,368,11,5,1,0.75,0.78,0.75,74,RAC
128,4,905,7,3,0,0.75,0.65,0.95,84,WAITING
46,41,615,10,3,0,0.35,0.78,0.75,47,CONFIRMED
22,44,1247,10,1,1,0.35,0.65,0.75,90,CONFIRMED
135,60,1112,5,4,0,1.0,0.78,0.95,89,WAITING
103,18,888,1,5,0,0.35,0.78,0.92,79,WAITING
160,43,1135,2,0,0,0.75,0.72,0.95,83,WAITING
18,50,1341,5,0,1,0.45,0.85,0.95,100,CONFIRMED
95,49,986,12,2,0,1.0,0.72,0.75,68,RAC
160,29,282,2,0,0,1.0,0.8,0.75,62,WAITING
19,8,886,5,5,0,0.35,0.78,0.75,61,RAC
56,55,821,3,3,0,0.45,0.8,0.75,56,CONFIRMED
178,60,840,1,6,0,1.0,0.78,0.95,70,WAITING
115,38,430,3,4,0,0.75,0.65,0.95,82,WAITING
111,19,1225,5,0,1,0.45,0.78,0.92,100,WAITING
90,19,782,7,2,0,0.75,0.85,0.95,85,WAITING
179,13,733,8,4,0,0.75,0.72,0.92,85,WAITING
20,55,777,1,1,0,0.35,0.72,0.92,63,CONFIRMED
64,26,1593,3,5,0,1.0,0.85,0.75,90,RAC
21,38,875,7,0,0,0.35,0.72,0.95,62,CONFIRMED
125,27,1307,3,1,0,0.35,0.65,0.95,84,WAITING
163,50,350,12,6,0,0.75,0.8,0.92,86,WAITING
105,2,630,2,5,0,0.75,0.8,0.92,74,WAITING
122,36,393,10,6,0,0.45,0.65,0.75,58,WAITING
151,28,1525,9,0,0,1.0,0.85,0.95,91,WAITING
162,7,306,11,3,0,1.0,0.78,0.95,66,WAITING
54,1,992,9,1,0,1.0,0.85,0.75,85,WAITING
81,9,155,2,2,0,0.35,0.78,0.75,57,WAITING
77,47,1485,8,1,0,0.75,0.85,0.95,87,CONFIRMED
157,47,850,3,1,0,0.35,0.65,0.92,78,WAITING
73,46,228,8,3,0,0.45,0.8,0.95,78,CONFIRMED
138,18,983,11,0,1,0.75,0.85,0.92,100,WAITING
97,43,649,11,6,1,0.75,0.65,0.92,96,WAITING
36,33,1678,4,3,1,0.45,0.85,0.75,97,CONFIRMED
170,25,1185,1,3,0,0.35,0.78,0.92,89,WAITING
10,21,326,10,3,0,0.45,0.65,0.92,70,CONFIRMED
130,36,1295,11,4,1,1.0,0.65,0.75,100,WAITING
165,29,910,4,6,1,0.45,0.72,0.75,100,WAITING
141,39,969,6,1,0,0.75,0.72,0.75,63,WAITING
71,19,470,7,2,0,0.35,0.78,0.92,62,WAITING
148,18,1137,6,1,0,0.35,0.72,0.95,75,WAITING
73,46,1627,9,5,0,0.35,0.8,0.92,88,RAC
105,11,1292,5,3,1,0.35,0.8,0.95,100,WAITING
158,38,1363,2,2,0,0.75,0.8,0.75,70,WAITING
60,26,339,8,4,0,1.0,0.8,0.95,80,RAC
112,49,1090,2,0,0,0.35,0.78,0.75,65,WAITING
30,51,482,8,0,0,0.75,0.72,0.92,77,CONFIRMED
161,54,1393,2,1,0,0.35,0.8,0.95,85,WAITING
157,24,1646,4,2,1,1.0,0.78,0.92,97,WAITING
175,27,1151,7,0,0,0.45,0.78,0.95,80,WAITING
53,37,313,1,5,0,0.75,0.72,0.95,86,RAC
130,54,1486,11,4,0,0.45,0.85,0.95,100,WAITING
122,22,789,8,1,0,0.45,0.78,0.75,58,WAITING
180,29,1060,10,2,0,0.45,0.8,0.92,76,WAITING
101,6,580,3,3,0,0.45,0.65,0.92,76,WAITING
130,55,1097,10,0,0,0.45,0.72,0.92,78,RAC
49,42,914,12,2,0,1.0,0.85,0.92,99,CONFIRMED
164,6,803,3,3,0,1.0,0.85,0.75,60,WAITING
170,60,850,11,0,0,0.75,0.85,0.95,80,WAITING
90,7,1565,8,3,0,1.0,0.8,0.75,71,WAITING
26,53,1066,4,4,1,0.35,0.85,0.95,100,CONFIRMED
133,35,209,11,1,1,0.75,0.78,0.92,86,WAITING
64,60,1039,5,6,0,0.75,0.8,0.95,96,CONFIRMED
58,47,1299,6,5,0,0.75,0.78,0.75,70,CONFIRMED
160,45,333,5,1,1,0.35,0.8,0.75,80,WAITING
50,18,1090,7,4,0,0.75,0.85,0.75,93,WAITING
59,4,344,7,3,0,1.0,0.8,0.75,59,WAITING
48,36,1579,8,6,0,0.45,0.8,0.75,76,CONFIRMED
29,47,1444,4,4,1,0.75,0.8,0.75,97,CONFIRMED
109,49,796,8,2,0,0.45,0.8,0.92,77,WAITING
99,1,541,1,6,0,0.45,0.78,0.95,75,WAITING
12,29,391,2,4,0,0.35,0.85,0.92,90,CONFIRMED
118,5,1094,11,4,1,1.0,0.8,0.95,100,WAITING
127,55,524,7,5,0,1.0,0.85,0.75,80,RAC
19,57,604,10,3,0,0.75,0.8,0.75,54,CONFIRMED
71,2,914,9,2,0,0.35,0.8,0.75,66,WAITING
178,58,1295,6,3,0,0.35,0.8,0.92,87,WAITING
51,34,962,10,6,0,0.75,0.65,0.92,98,RAC
30,60,1371,1,5,0,0.75,0.8,0.92,85,CONFIRMED
